container_number,container_type,project,collection_date,plot_id,plot_treatment,seed_type,seed_treatment,maggot_location,nr_seeds_found,nr_seeds_with_at_least_one_scm_maggot,nr_seed_damaged_by_other,total_nr_scm_maggots,total_nr_scm_pupae,nr_wireworms,nr_seeds_with_at_least_one_phorid_maggot,total_nr_of_phorid_larvae,total_nr_of_phorid_pupae,notes
3353,deli cup,M,2023-05-02T00:00:00Z,1,Control_Fertilizer,Corn,Water,Corn,10,0,0,0,0,0,0,0,0,
3353,deli cup,M,2023-05-02T00:00:00Z,1,Control_Fertilizer,Corn,Water,Loose,NA,NA,NA,0,0,0,NA,0,0,
3353,deli cup,M,2023-05-02T00:00:00Z,1,Control_Fertilizer,Corn,Water,Total,10,0,0,0,0,0,0,0,0,
3369,deli cup,M,2023-05-02T00:00:00Z,1,Control_Fertilizer,Corn,Water,Corn,8,0,0,0,0,0,0,0,0,
3369,deli cup,M,2023-05-02T00:00:00Z,1,Control_Fertilizer,Corn,Water,Loose,NA,NA,NA,0,0,0,NA,0,0,
3369,deli cup,M,2023-05-02T00:00:00Z,1,Control_Fertilizer,Corn,Water,Total,8,0,0,0,0,0,0,0,0,
3341,deli cup,M,2023-05-02T00:00:00Z,1,Fertilizer,Corn,Water,Corn,10,0,0,0,0,0,0,0,0,
3341,deli cup,M,2023-05-02T00:00:00Z,1,Fertilizer,Corn,Water,Loose,NA,NA,NA,0,0,0,NA,0,0,
3341,deli cup,M,2023-05-02T00:00:00Z,1,Fertilizer,Corn,Water,Total,10,0,0,0,0,0,0,0,0,
3379,deli cup,M,2023-05-02T00:00:00Z,1,Fertilizer,Corn,JA,Corn,10,1,0,1,0,0,0,0,0,
3379,deli cup,M,2023-05-02T00:00:00Z,1,Fertilizer,Corn,JA,Loose,NA,NA,NA,0,0,0,NA,0,0,
3379,deli cup,M,2023-05-02T00:00:00Z,1,Fertilizer,Corn,JA,Total,10,1,0,1,0,0,0,0,0,
3354,deli cup,M,2023-05-02T00:00:00Z,10,Control_Manure,Corn,Water,Corn,10,0,0,1,0,0,0,0,0,
3354,deli cup,M,2023-05-02T00:00:00Z,10,Control_Manure,Corn,Water,Loose,NA,NA,NA,0,0,0,NA,0,0,
3354,deli cup,M,2023-05-02T00:00:00Z,10,Control_Manure,Corn,Water,Total,10,0,0,1,0,0,0,0,0,
3358,deli cup,M,2023-05-02T00:00:00Z,10,Control_Manure,Corn,JA,Corn,10,0,1,0,0,0,0,0,0,
3358,deli cup,M,2023-05-02T00:00:00Z,10,Control_Manure,Corn,JA,Loose,NA,NA,NA,1,0,0,NA,0,0,
3358,deli cup,M,2023-05-02T00:00:00Z,10,Control_Manure,Corn,JA,Total,10,0,1,1,0,0,0,0,0,
3340,deli cup,M,2023-05-02T00:00:00Z,10,Manure,Corn,Water,Corn,10,0,0,0,0,0,0,0,0,
3340,deli cup,M,2023-05-02T00:00:00Z,10,Manure,Corn,Water,Loose,NA,NA,NA,0,0,0,NA,0,0,
3340,deli cup,M,2023-05-02T00:00:00Z,10,Manure,Corn,Water,Total,10,0,0,0,0,0,0,0,0,
3371,deli cup,M,2023-05-02T00:00:00Z,10,Manure,Corn,JA,Corn,10,3,1,6,0,0,0,0,0,
3371,deli cup,M,2023-05-02T00:00:00Z,10,Manure,Corn,JA,Loose,NA,NA,NA,4,0,0,NA,0,0,
3371,deli cup,M,2023-05-02T00:00:00Z,10,Manure,Corn,JA,Total,10,3,1,10,0,0,0,0,0,
3281,deli cup,M,2023-05-02T00:00:00Z,11,Control_Fertilizer,Corn,JA,Corn,10,0,0,0,0,0,0,0,0,
3281,deli cup,M,2023-05-02T00:00:00Z,11,Control_Fertilizer,Corn,JA,Loose,NA,NA,NA,0,0,0,NA,0,0,
3281,deli cup,M,2023-05-02T00:00:00Z,11,Control_Fertilizer,Corn,JA,Total,10,0,0,0,0,0,0,0,0,
3301,deli cup,M,2023-05-02T00:00:00Z,11,Control_Fertilizer,Corn,Water,Corn,10,0,0,0,0,0,0,0,0,
3301,deli cup,M,2023-05-02T00:00:00Z,11,Control_Fertilizer,Corn,Water,Loose,NA,NA,NA,0,0,0,NA,0,0,
3301,deli cup,M,2023-05-02T00:00:00Z,11,Control_Fertilizer,Corn,Water,Total,10,0,0,0,0,0,0,0,0,
3294,deli cup,M,2023-05-02T00:00:00Z,11,Fertilizer,Corn,JA,Corn,10,0,0,0,0,0,0,0,0,
3294,deli cup,M,2023-05-02T00:00:00Z,11,Fertilizer,Corn,JA,Loose,NA,NA,NA,0,0,0,NA,0,0,
3294,deli cup,M,2023-05-02T00:00:00Z,11,Fertilizer,Corn,JA,Total,10,0,0,0,0,0,0,0,0,
3297,deli cup,M,2023-05-02T00:00:00Z,11,Fertilizer,Corn,Water,Corn,10,0,0,0,0,0,0,0,0,
3297,deli cup,M,2023-05-02T00:00:00Z,11,Fertilizer,Corn,Water,Loose,NA,NA,NA,0,0,0,NA,0,0,
3297,deli cup,M,2023-05-02T00:00:00Z,11,Fertilizer,Corn,Water,Total,10,0,0,0,0,0,0,0,0,
3314,deli cup,M,2023-05-02T00:00:00Z,12,Control_Manure,Corn,JA,Corn,10,0,0,0,0,0,0,0,0,
3314,deli cup,M,2023-05-02T00:00:00Z,12,Control_Manure,Corn,JA,Loose,NA,NA,NA,0,0,0,NA,0,0,
3314,deli cup,M,2023-05-02T00:00:00Z,12,Control_Manure,Corn,JA,Total,10,0,0,0,0,0,0,0,0,
3317,deli cup,M,2023-05-02T00:00:00Z,12,Control_Manure,Corn,Water,Corn,10,0,0,0,0,0,0,0,0,
3317,deli cup,M,2023-05-02T00:00:00Z,12,Control_Manure,Corn,Water,Loose,NA,NA,NA,0,0,1,NA,0,0,
3317,deli cup,M,2023-05-02T00:00:00Z,12,Control_Manure,Corn,Water,Total,10,0,0,0,0,1,0,0,0,
3279,deli cup,M,2023-05-02T00:00:00Z,12,Manure,Corn,Water,Corn,10,0,0,0,0,0,0,0,0,
3279,deli cup,M,2023-05-02T00:00:00Z,12,Manure,Corn,Water,Loose,NA,NA,NA,0,0,0,NA,0,0,
3279,deli cup,M,2023-05-02T00:00:00Z,12,Manure,Corn,Water,Total,10,0,0,0,0,0,0,0,0,
3295,deli cup,M,2023-05-02T00:00:00Z,12,Manure,Corn,JA,Corn,10,0,0,0,0,0,0,0,0,
3295,deli cup,M,2023-05-02T00:00:00Z,12,Manure,Corn,JA,Loose,NA,NA,NA,0,0,0,NA,0,0,
3295,deli cup,M,2023-05-02T00:00:00Z,12,Manure,Corn,JA,Total,10,0,0,0,0,0,0,0,0,
3284,deli cup,M,2023-05-02T00:00:00Z,13,Control_Fertilizer,Corn,JA,Corn,10,3,0,3,0,0,0,0,0,
3284,deli cup,M,2023-05-02T00:00:00Z,13,Control_Fertilizer,Corn,JA,Loose,NA,NA,NA,0,0,0,NA,0,0,
3284,deli cup,M,2023-05-02T00:00:00Z,13,Control_Fertilizer,Corn,JA,Total,10,3,0,3,0,0,0,0,0,
3343,deli cup,M,2023-05-02T00:00:00Z,13,Control_Fertilizer,Corn,Water,Corn,10,0,0,0,0,0,0,0,0,
3343,deli cup,M,2023-05-02T00:00:00Z,13,Control_Fertilizer,Corn,Water,Loose,NA,NA,NA,0,0,0,NA,0,0,
3343,deli cup,M,2023-05-02T00:00:00Z,13,Control_Fertilizer,Corn,Water,Total,10,0,0,0,0,0,0,0,0,
3268,deli cup,M,2023-05-02T00:00:00Z,13,Fertilizer,Corn,Water,Corn,10,1,0,1,0,0,0,0,0,
3268,deli cup,M,2023-05-02T00:00:00Z,13,Fertilizer,Corn,Water,Loose,NA,NA,NA,4,3,0,NA,0,0,
3268,deli cup,M,2023-05-02T00:00:00Z,13,Fertilizer,Corn,Water,Total,10,1,0,5,3,0,0,0,0,
3308,deli cup,M,2023-05-02T00:00:00Z,13,Fertilizer,Corn,JA,Corn,10,0,0,0,0,1,0,0,0,
3308,deli cup,M,2023-05-02T00:00:00Z,13,Fertilizer,Corn,JA,Loose,NA,NA,NA,0,0,0,NA,0,0,
3308,deli cup,M,2023-05-02T00:00:00Z,13,Fertilizer,Corn,JA,Total,10,0,0,0,0,1,0,0,0,
3288,deli cup,M,2023-05-02T00:00:00Z,18,Control_Fertilizer,Corn,JA,Corn,10,0,0,0,0,0,0,0,0,
3288,deli cup,M,2023-05-02T00:00:00Z,18,Control_Fertilizer,Corn,JA,Loose,NA,NA,NA,2,0,0,NA,0,0,
3288,deli cup,M,2023-05-02T00:00:00Z,18,Control_Fertilizer,Corn,JA,Total,10,0,0,2,0,0,0,0,0,
3306,deli cup,M,2023-05-02T00:00:00Z,18,Control_Fertilizer,Corn,Water,Corn,10,0,0,0,0,0,0,0,0,
3306,deli cup,M,2023-05-02T00:00:00Z,18,Control_Fertilizer,Corn,Water,Loose,NA,NA,NA,0,0,0,NA,0,0,
3306,deli cup,M,2023-05-02T00:00:00Z,18,Control_Fertilizer,Corn,Water,Total,10,0,0,0,0,0,0,0,0,
3262,deli cup,M,2023-05-02T00:00:00Z,18,Fertilizer,Corn,Water,Corn,10,1,0,2,0,0,0,0,0,
3262,deli cup,M,2023-05-02T00:00:00Z,18,Fertilizer,Corn,Water,Loose,NA,NA,NA,5,0,0,NA,0,0,
3262,deli cup,M,2023-05-02T00:00:00Z,18,Fertilizer,Corn,Water,Total,10,1,0,7,0,0,0,0,0,
3280,deli cup,M,2023-05-02T00:00:00Z,18,Fertilizer,Corn,JA,Corn,10,1,0,1,0,0,0,0,0,
3280,deli cup,M,2023-05-02T00:00:00Z,18,Fertilizer,Corn,JA,Loose,NA,NA,NA,0,0,1,NA,0,0,
3280,deli cup,M,2023-05-02T00:00:00Z,18,Fertilizer,Corn,JA,Total,10,1,0,1,0,1,0,0,0,
3283,deli cup,M,2023-05-02T00:00:00Z,19,Control_Fertilizer,Corn,Water,Corn,10,0,0,0,0,0,0,0,0,
3283,deli cup,M,2023-05-02T00:00:00Z,19,Control_Fertilizer,Corn,Water,Loose,NA,NA,NA,3,0,0,NA,0,0,
3283,deli cup,M,2023-05-02T00:00:00Z,19,Control_Fertilizer,Corn,Water,Total,10,0,0,3,0,0,0,0,0,
3310,deli cup,M,2023-05-02T00:00:00Z,19,Control_Fertilizer,Corn,JA,Corn,10,0,0,0,0,0,0,0,0,
3310,deli cup,M,2023-05-02T00:00:00Z,19,Control_Fertilizer,Corn,JA,Loose,NA,NA,NA,0,0,0,NA,0,0,
3310,deli cup,M,2023-05-02T00:00:00Z,19,Control_Fertilizer,Corn,JA,Total,10,0,0,0,0,0,0,0,0,
3251,deli cup,M,2023-05-02T00:00:00Z,19,Fertilizer,Corn,Water,Corn,10,3,0,5,0,0,0,0,0,
3251,deli cup,M,2023-05-02T00:00:00Z,19,Fertilizer,Corn,Water,Loose,NA,NA,NA,21,0,0,NA,0,0,
3251,deli cup,M,2023-05-02T00:00:00Z,19,Fertilizer,Corn,Water,Total,10,3,0,26,0,0,0,0,0,
3275,deli cup,M,2023-05-02T00:00:00Z,19,Fertilizer,Corn,JA,Corn,10,1,0,1,0,0,0,0,0,
3275,deli cup,M,2023-05-02T00:00:00Z,19,Fertilizer,Corn,JA,Loose,NA,NA,NA,0,0,0,NA,0,0,
3275,deli cup,M,2023-05-02T00:00:00Z,19,Fertilizer,Corn,JA,Total,10,1,0,1,0,0,0,0,0,
3263,deli cup,M,2023-05-02T00:00:00Z,20,Control_Manure,Corn,Water,Corn,10,1,1,2,0,0,0,0,0,
3263,deli cup,M,2023-05-02T00:00:00Z,20,Control_Manure,Corn,Water,Loose,NA,NA,NA,2,0,0,NA,0,0,
3263,deli cup,M,2023-05-02T00:00:00Z,20,Control_Manure,Corn,Water,Total,10,1,1,4,0,0,0,0,0,
3292,deli cup,M,2023-05-02T00:00:00Z,20,Control_Manure,Corn,JA,Corn,10,2,1,3,0,0,0,0,0,
3292,deli cup,M,2023-05-02T00:00:00Z,20,Control_Manure,Corn,JA,Loose,NA,NA,NA,2,0,0,NA,0,0,
3292,deli cup,M,2023-05-02T00:00:00Z,20,Control_Manure,Corn,JA,Total,10,2,1,5,0,0,0,0,0,
3296,deli cup,M,2023-05-02T00:00:00Z,20,Manure,Corn,JA,Corn,10,0,0,0,0,4,0,0,0,
3296,deli cup,M,2023-05-02T00:00:00Z,20,Manure,Corn,JA,Loose,NA,NA,NA,0,0,0,NA,0,0,
3296,deli cup,M,2023-05-02T00:00:00Z,20,Manure,Corn,JA,Total,10,0,0,0,0,4,0,0,0,
3309,deli cup,M,2023-05-02T00:00:00Z,20,Manure,Corn,Water,Corn,10,3,2,8,0,0,0,0,0,
3309,deli cup,M,2023-05-02T00:00:00Z,20,Manure,Corn,Water,Loose,NA,NA,NA,11,0,0,NA,0,0,
3309,deli cup,M,2023-05-02T00:00:00Z,20,Manure,Corn,Water,Total,10,3,2,19,0,0,0,0,0,
3264,deli cup,M,2023-05-02T00:00:00Z,22,Control_Manure,Corn,JA,Corn,10,0,0,0,0,0,0,0,0,
3264,deli cup,M,2023-05-02T00:00:00Z,22,Control_Manure,Corn,JA,Loose,NA,NA,NA,2,0,0,NA,0,0,
3264,deli cup,M,2023-05-02T00:00:00Z,22,Control_Manure,Corn,JA,Total,10,0,0,2,0,0,0,0,0,
3270,deli cup,M,2023-05-02T00:00:00Z,22,Control_Manure,Corn,Water,Corn,9,2,0,2,0,0,0,0,0,
3270,deli cup,M,2023-05-02T00:00:00Z,22,Control_Manure,Corn,Water,Loose,NA,NA,NA,6,0,0,NA,0,0,
3270,deli cup,M,2023-05-02T00:00:00Z,22,Control_Manure,Corn,Water,Total,9,2,0,8,0,0,0,0,0,
3246,deli cup,M,2023-05-02T00:00:00Z,22,Manure,Corn,JA,Corn,10,1,0,2,0,5,0,0,0,
3246,deli cup,M,2023-05-02T00:00:00Z,22,Manure,Corn,JA,Loose,NA,NA,NA,0,0,0,NA,0,0,
3246,deli cup,M,2023-05-02T00:00:00Z,22,Manure,Corn,JA,Total,10,1,0,2,0,5,0,0,0,
3271,deli cup,M,2023-05-02T00:00:00Z,22,Manure,Corn,Water,Corn,10,0,0,0,0,0,0,0,0,
3271,deli cup,M,2023-05-02T00:00:00Z,22,Manure,Corn,Water,Loose,NA,NA,NA,1,0,0,NA,0,0,
3271,deli cup,M,2023-05-02T00:00:00Z,22,Manure,Corn,Water,Total,10,0,0,1,0,0,0,0,0,
3252,deli cup,M,2023-05-02T00:00:00Z,23,Control_Manure,Corn,JA,Corn,10,0,0,0,0,0,0,0,0,
3252,deli cup,M,2023-05-02T00:00:00Z,23,Control_Manure,Corn,JA,Loose,NA,NA,NA,0,2,0,NA,0,0,
3252,deli cup,M,2023-05-02T00:00:00Z,23,Control_Manure,Corn,JA,Total,10,0,0,0,2,0,0,0,0,
3256,deli cup,M,2023-05-02T00:00:00Z,23,Control_Manure,Corn,Water,Corn,10,4,0,5,0,0,0,0,0,
3256,deli cup,M,2023-05-02T00:00:00Z,23,Control_Manure,Corn,Water,Loose,NA,NA,NA,1,0,0,NA,0,0,
3256,deli cup,M,2023-05-02T00:00:00Z,23,Control_Manure,Corn,Water,Total,10,4,0,6,0,0,0,0,0,
3269,deli cup,M,2023-05-02T00:00:00Z,23,Manure,Corn,JA,Corn,10,0,0,0,0,0,0,0,0,
3269,deli cup,M,2023-05-02T00:00:00Z,23,Manure,Corn,JA,Loose,NA,NA,NA,1,0,2,NA,0,1,
3269,deli cup,M,2023-05-02T00:00:00Z,23,Manure,Corn,JA,Total,10,0,0,1,0,2,0,0,1,
3258,deli cup,M,2023-05-02T00:00:00Z,24,Control_Fertilizer,Corn,Water,Corn,10,7,0,7,0,0,0,0,0,
3258,deli cup,M,2023-05-02T00:00:00Z,24,Control_Fertilizer,Corn,Water,Loose,NA,NA,NA,14,2,0,NA,0,0,
3258,deli cup,M,2023-05-02T00:00:00Z,24,Control_Fertilizer,Corn,Water,Total,10,7,0,21,2,0,0,0,0,
3265,deli cup,M,2023-05-02T00:00:00Z,24,Control_Fertilizer,Corn,JA,Corn,10,0,0,0,0,0,0,0,0,
3265,deli cup,M,2023-05-02T00:00:00Z,24,Control_Fertilizer,Corn,JA,Loose,NA,NA,NA,6,1,0,NA,0,0,
3265,deli cup,M,2023-05-02T00:00:00Z,24,Control_Fertilizer,Corn,JA,Total,10,0,0,6,1,0,0,0,0,
3250,deli cup,M,2023-05-02T00:00:00Z,24,Fertilizer,Corn,JA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3278,deli cup,M,2023-05-02T00:00:00Z,24,Fertilizer,Corn,Water,Corn,10,1,0,1,0,0,0,0,0,
3278,deli cup,M,2023-05-02T00:00:00Z,24,Fertilizer,Corn,Water,Loose,NA,NA,NA,11,0,0,NA,0,0,
3278,deli cup,M,2023-05-02T00:00:00Z,24,Fertilizer,Corn,Water,Total,10,1,0,12,0,0,0,0,0,
3386,deli cup,M,2023-05-02T00:00:00Z,26,Control_Manure,Corn,Water,Corn,10,0,0,0,0,0,0,0,0,
3386,deli cup,M,2023-05-02T00:00:00Z,26,Control_Manure,Corn,Water,Loose,NA,NA,NA,0,0,0,NA,0,0,
3386,deli cup,M,2023-05-02T00:00:00Z,26,Control_Manure,Corn,Water,Total,10,0,0,0,0,0,0,0,0,
3387,deli cup,M,2023-05-02T00:00:00Z,26,Control_Manure,Corn,JA,Corn,10,0,0,0,0,0,0,0,0,
3387,deli cup,M,2023-05-02T00:00:00Z,26,Control_Manure,Corn,JA,Loose,NA,NA,NA,0,0,0,NA,0,0,
3387,deli cup,M,2023-05-02T00:00:00Z,26,Control_Manure,Corn,JA,Total,10,0,0,0,0,0,0,0,0,
3405,deli cup,M,2023-05-02T00:00:00Z,26,Manure,Corn,JA,Corn,10,0,0,0,0,0,0,0,0,
3405,deli cup,M,2023-05-02T00:00:00Z,26,Manure,Corn,JA,Loose,NA,NA,NA,0,0,0,NA,1,0,
3405,deli cup,M,2023-05-02T00:00:00Z,26,Manure,Corn,JA,Total,10,0,0,0,0,0,0,1,0,
3406,deli cup,M,2023-05-02T00:00:00Z,26,Manure,Corn,Water,Corn,10,0,0,0,0,3,0,0,0,
3406,deli cup,M,2023-05-02T00:00:00Z,26,Manure,Corn,Water,Loose,NA,NA,NA,0,0,0,NA,0,0,
3406,deli cup,M,2023-05-02T00:00:00Z,26,Manure,Corn,Water,Total,10,0,0,0,0,3,0,0,0,
3399,deli cup,M,2023-05-02T00:00:00Z,29,Control_Manure,Corn,JA,Corn,10,0,0,0,0,0,0,0,0,
3399,deli cup,M,2023-05-02T00:00:00Z,29,Control_Manure,Corn,JA,Loose,NA,NA,NA,0,0,0,NA,0,0,
3399,deli cup,M,2023-05-02T00:00:00Z,29,Control_Manure,Corn,JA,Total,10,0,0,0,0,0,0,0,0,
3404,deli cup,M,2023-05-02T00:00:00Z,29,Control_Manure,Corn,Water,Corn,10,1,2,1,0,0,0,0,0,
3404,deli cup,M,2023-05-02T00:00:00Z,29,Control_Manure,Corn,Water,Loose,NA,NA,NA,16,0,0,NA,0,0,
3404,deli cup,M,2023-05-02T00:00:00Z,29,Control_Manure,Corn,Water,Total,10,1,2,17,0,0,0,0,0,
3395,deli cup,M,2023-05-02T00:00:00Z,29,Manure,Corn,Water,Corn,10,0,2,0,0,0,0,0,0,
3395,deli cup,M,2023-05-02T00:00:00Z,29,Manure,Corn,Water,Loose,NA,NA,NA,0,0,0,NA,0,0,
3395,deli cup,M,2023-05-02T00:00:00Z,29,Manure,Corn,Water,Total,10,0,2,0,0,0,0,0,0,
3401,deli cup,M,2023-05-02T00:00:00Z,29,Manure,Corn,JA,Corn,10,0,1,0,0,0,0,0,0,
3401,deli cup,M,2023-05-02T00:00:00Z,29,Manure,Corn,JA,Loose,NA,NA,NA,0,0,0,NA,0,0,
3401,deli cup,M,2023-05-02T00:00:00Z,29,Manure,Corn,JA,Total,10,0,1,0,0,0,0,0,0,
3360,deli cup,M,2023-05-02T00:00:00Z,3,Control_Manure,Corn,Water,Corn,10,0,0,0,0,0,0,0,0,
3360,deli cup,M,2023-05-02T00:00:00Z,3,Control_Manure,Corn,Water,Loose,NA,NA,NA,0,0,0,NA,0,0,
3360,deli cup,M,2023-05-02T00:00:00Z,3,Control_Manure,Corn,Water,Total,10,0,0,0,0,0,0,0,0,
3375,deli cup,M,2023-05-02T00:00:00Z,3,Control_Manure,Corn,JA,Corn,10,0,0,0,0,0,0,0,0,
3375,deli cup,M,2023-05-02T00:00:00Z,3,Control_Manure,Corn,JA,Loose,NA,NA,NA,0,0,0,NA,0,0,
3375,deli cup,M,2023-05-02T00:00:00Z,3,Control_Manure,Corn,JA,Total,10,0,0,0,0,0,0,0,0,
3383,deli cup,M,2023-05-02T00:00:00Z,3,Control_Manure,Corn,JA,Bean,1,1,0,1,0,0,0,0,0,
3383,deli cup,M,2023-05-02T00:00:00Z,3,Control_Manure,Corn,JA,Loose,NA,NA,NA,86,0,0,NA,0,0,
3383,deli cup,M,2023-05-02T00:00:00Z,3,Control_Manure,Corn,JA,Total,1,1,0,87,0,0,0,0,0,
3316,deli cup,M,2023-05-02T00:00:00Z,3,Manure,Corn,JA,Corn,10,1,0,1,0,0,0,0,0,
3316,deli cup,M,2023-05-02T00:00:00Z,3,Manure,Corn,JA,Loose,NA,NA,NA,0,1,0,NA,0,0,
3316,deli cup,M,2023-05-02T00:00:00Z,3,Manure,Corn,JA,Total,10,1,0,1,1,0,0,0,0,
3377,deli cup,M,2023-05-02T00:00:00Z,3,Manure,Corn,Water,Corn,10,0,1,0,0,0,0,0,0,
3377,deli cup,M,2023-05-02T00:00:00Z,3,Manure,Corn,Water,Loose,NA,NA,NA,0,0,0,NA,0,0,
3377,deli cup,M,2023-05-02T00:00:00Z,3,Manure,Corn,Water,Total,10,0,1,0,0,0,0,0,0,
3409,deli cup,M,2023-05-02T00:00:00Z,30,Control_Fertilizer,Corn,JA,Corn,10,0,0,0,0,0,0,0,0,
3409,deli cup,M,2023-05-02T00:00:00Z,30,Control_Fertilizer,Corn,JA,Loose,NA,NA,NA,0,0,0,NA,0,0,
3409,deli cup,M,2023-05-02T00:00:00Z,30,Control_Fertilizer,Corn,JA,Total,10,0,0,0,0,0,0,0,0,
3412,deli cup,M,2023-05-02T00:00:00Z,30,Control_Fertilizer,Corn,Water,Corn,10,1,2,1,0,0,0,0,0,
3412,deli cup,M,2023-05-02T00:00:00Z,30,Control_Fertilizer,Corn,Water,Loose,NA,NA,NA,1,0,1,NA,0,0,
3412,deli cup,M,2023-05-02T00:00:00Z,30,Control_Fertilizer,Corn,Water,Total,10,1,2,2,0,1,0,0,0,
3394,deli cup,M,2023-05-02T00:00:00Z,30,Fertilizer,Corn,JA,Corn,10,0,0,0,0,0,0,0,0,
3394,deli cup,M,2023-05-02T00:00:00Z,30,Fertilizer,Corn,JA,Loose,NA,NA,NA,0,0,0,NA,0,0,
3394,deli cup,M,2023-05-02T00:00:00Z,30,Fertilizer,Corn,JA,Total,10,0,0,0,0,0,0,0,0,
3407,deli cup,M,2023-05-02T00:00:00Z,30,Fertilizer,Corn,Water,Corn,10,2,0,0,0,0,0,0,0,
3407,deli cup,M,2023-05-02T00:00:00Z,30,Fertilizer,Corn,Water,Loose,NA,NA,NA,0,0,3,NA,0,0,
3407,deli cup,M,2023-05-02T00:00:00Z,30,Fertilizer,Corn,Water,Total,10,2,0,0,0,3,0,0,0,
3400,deli cup,M,2023-05-02T00:00:00Z,32,Control_Fertilizer,Corn,JA,Corn,10,0,0,0,0,0,0,0,0,
3400,deli cup,M,2023-05-02T00:00:00Z,32,Control_Fertilizer,Corn,JA,Loose,NA,NA,NA,0,0,1,NA,0,0,
3400,deli cup,M,2023-05-02T00:00:00Z,32,Control_Fertilizer,Corn,JA,Total,10,0,0,0,0,1,0,0,0,
3408,deli cup,M,2023-05-02T00:00:00Z,32,Control_Fertilizer,Corn,Water,Bean,10,0,2,0,0,0,0,0,0,
3408,deli cup,M,2023-05-02T00:00:00Z,32,Control_Fertilizer,Corn,Water,Loose,NA,NA,NA,2,0,0,NA,0,0,
3408,deli cup,M,2023-05-02T00:00:00Z,32,Control_Fertilizer,Corn,Water,Total,10,0,2,2,0,0,0,0,0,
3391,deli cup,M,2023-05-02T00:00:00Z,32,Fertilizer,Corn,JA,Corn,10,0,1,0,0,0,0,0,0,
3391,deli cup,M,2023-05-02T00:00:00Z,32,Fertilizer,Corn,JA,Loose,NA,NA,NA,0,0,0,NA,0,0,
3391,deli cup,M,2023-05-02T00:00:00Z,32,Fertilizer,Corn,JA,Total,10,0,1,0,0,0,0,0,0,
3403,deli cup,M,2023-05-02T00:00:00Z,32,Fertilizer,Corn,Water,Corn,9,0,0,0,0,0,0,0,0,
3403,deli cup,M,2023-05-02T00:00:00Z,32,Fertilizer,Corn,Water,Loose,NA,NA,NA,0,0,0,NA,0,0,
3403,deli cup,M,2023-05-02T00:00:00Z,32,Fertilizer,Corn,Water,Total,9,0,0,0,0,0,0,0,0,
3491,deli cup,M,2023-05-02T00:00:00Z,34,Control_Fertilizer,Corn,JA,Corn,10,0,0,0,0,0,0,0,0,
3491,deli cup,M,2023-05-02T00:00:00Z,34,Control_Fertilizer,Corn,JA,Loose,NA,NA,NA,5,0,0,NA,0,0,
3491,deli cup,M,2023-05-02T00:00:00Z,34,Control_Fertilizer,Corn,JA,Total,10,0,0,5,0,0,0,0,0,
3541,deli cup,M,2023-05-02T00:00:00Z,34,Control_Fertilizer,Corn,Water,Bean,10,6,1,29,0,2,0,0,0,
3541,deli cup,M,2023-05-02T00:00:00Z,34,Control_Fertilizer,Corn,Water,Loose,NA,NA,NA,9,0,0,NA,0,0,
3541,deli cup,M,2023-05-02T00:00:00Z,34,Control_Fertilizer,Corn,Water,Total,10,6,1,38,0,2,0,0,0,
3479,deli cup,M,2023-05-02T00:00:00Z,34,Fertilizer,Corn,JA,Corn,10,0,0,0,0,0,0,0,0,
3479,deli cup,M,2023-05-02T00:00:00Z,34,Fertilizer,Corn,JA,Loose,NA,NA,NA,2,0,0,NA,0,0,
3479,deli cup,M,2023-05-02T00:00:00Z,34,Fertilizer,Corn,JA,Total,10,0,0,2,0,0,0,0,0,
